0.0	0.915
0.05	1.10049
0.1	1.28683
0.15	1.4637
0.2	1.62099
0.25	1.75051
0.3	1.8476
0.35	1.91142
0.4	1.94537
0.45	1.95573
0.5	1.95015
0.55	1.93535
0.6	1.91498
0.65	1.88828
0.7	1.84955
0.75	1.78894
0.8	1.69462
0.85	1.55525
0.9	1.36316
0.95	1.11653
1.0	0.82105
1.05	0.4898
1.1	0.14186
1.15	-0.20021
1.2	-0.51351
1.25	-0.77828
1.3	-0.98018
1.35	-1.11201
1.4	-1.17397
1.45	-1.17281
1.5	-1.1201
1.55	-1.02986
1.6	-0.9167
1.65	-0.79358
1.7	-0.67075
1.75	-0.55507
1.8	-0.44998
1.85	-0.35576
1.9	-0.27014
1.95	-0.18868
2.0	-0.10571
2.05	-0.01448
2.1	0.09198
2.15	0.22029
2.2	0.37592
2.25	0.56207
2.3	0.77889
2.35	1.02247
2.4	1.28425
2.45	1.55143
2.5	1.80753
2.55	2.03423
2.6	2.21356
2.65	2.33001
2.7	2.37276
2.75	2.33793
2.8	2.22888
2.85	2.05573
2.9	1.83394
2.95	1.5819
3.0	1.31862
3.05	1.06117
3.1	0.82311
3.15	0.61341
3.2	0.43645
3.25	0.29258
3.3	0.17918
3.35	0.09177
3.4	0.02514
3.45	-0.02573
3.5	-0.06518
3.55	-0.09656
3.6	-0.12218
3.65	-0.14351
3.7	-0.16136
3.75	-0.17603
3.8	-0.1875
3.85	-0.19558
3.9	-0.19997
3.95	-0.20042
4.0	-0.19671
4.05	-0.18861
4.1	-0.176
4.15	-0.15868
4.2	-0.13628
4.25	-0.10811
4.3	-0.07292
4.35	-0.02874
4.4	0.02728
4.45	0.09847
4.5	0.18848
4.55	0.3009
4.6	0.43829
4.65	0.60111
4.7	0.78713
4.75	0.99062
4.8	1.20208
4.85	1.40872
4.9	1.59566
4.95	1.74729
5.0	1.84979
5.05	1.89314
5.1	1.87248
5.15	1.78918
5.2	1.65084
5.25	1.46973
5.3	1.26126
5.35	1.04164
5.4	0.82606
5.45	0.62669
5.5	0.4518
5.55	0.30561
5.6	0.18859
5.65	0.09858
5.7	0.03149
5.75	-0.01743
5.8	-0.05277
5.85	-0.07843
5.9	-0.09744
5.95	-0.11186
6.0	-0.12302
6.05	-0.13154
6.1	-0.13769
6.15	-0.14148
6.2	-0.14284
6.25	-0.14168
6.3	-0.1379
6.35	-0.13154
6.4	-0.12278
6.45	-0.11183
6.5	-0.09914
6.55	-0.08522
6.6	-0.07071
6.65	-0.05625
6.7	-0.04244
6.75	-0.02979
6.8	-0.01867
6.85	-0.00928
6.9	-0.00162
6.95	0.00435
7.0	0.00886
7.05	0.01218
7.1	0.01471
7.15	0.01695
7.2	0.01947
7.25	0.0232
7.3	0.02937
7.35	0.03968
7.4	0.05646
7.45	0.08244
7.5	0.12063
7.55	0.17399
7.6	0.24527
7.65	0.33612
7.7	0.44688
7.75	0.57608
7.8	0.72053
7.85	0.87538
7.9	1.03465
7.95	1.19166
8.0	1.34015
8.05	1.47486
8.1	1.59203
8.15	1.68962
8.2	1.76754
8.25	1.82702
8.3	1.86994
8.35	1.89847
8.4	1.91476
8.45	1.92018
8.5	1.91479
8.55	1.89791
8.6	1.86803
8.65	1.8234
8.7	1.76234
8.75	1.68339
8.8	1.58614
8.85	1.4712
8.9	1.34043
8.95	1.19688
9.0	1.04448
9.05	0.88796
9.1	0.73219
9.15	0.58199
9.2	0.44154
9.25	0.31418
9.3	0.20206
9.35	0.1061
9.4	0.02621
9.45	-0.03873
9.5	-0.09047
9.55	-0.13109
9.6	-0.16279
9.65	-0.18757
9.7	-0.2071
9.75	-0.22274
9.8	-0.23546
9.85	-0.24605
9.9	-0.25515
9.95	-0.26358
10.0	-0.27228
10.05	-0.2825
10.1	-0.29581
10.15	-0.31411
10.2	-0.3394
10.25	-0.37349
10.3	-0.41788
10.35	-0.4732
10.4	-0.53933
10.45	-0.61489
10.5	-0.69768
10.55	-0.78457
10.6	-0.87242
10.65	-0.95804
10.7	-1.03833
10.75	-1.11117
10.8	-1.17519
10.85	-1.22984
10.9	-1.27545
10.95	-1.31342
11.0	-1.34525
11.05	-1.37246
11.1	-1.39627
11.15	-1.41727
11.2	-1.43541
11.25	-1.44994
11.3	-1.45947
11.35	-1.46233
11.4	-1.45674
11.45	-1.44081
11.5	-1.41287
11.55	-1.37164
11.6	-1.31647
11.65	-1.24753
11.7	-1.16578
11.75	-1.07307
11.8	-0.97207
11.85	-0.86587
11.9	-0.75789
11.95	-0.65161
12.0	-0.55007
12.05	-0.45585
12.1	-0.37085
12.15	-0.29618
12.2	-0.23225
12.25	-0.17877
12.3	-0.13498
12.35	-0.09984
12.4	-0.07218
12.45	-0.05063
12.5	-0.03409
12.55	-0.02152
12.6	-0.012
12.65	-0.00489
12.7	0.00039
12.75	0.00416
12.8	0.00673
12.85	0.00822
12.9	0.00867
12.95	0.00805
13.0	0.00626
13.05	0.00319
13.1	-0.00128
13.15	-0.00716
13.2	-0.01443
13.25	-0.02295
13.3	-0.0324
13.35	-0.04252
13.4	-0.05288
13.45	-0.06309
13.5	-0.07281
13.55	-0.0817
13.6	-0.08961
13.65	-0.09642
13.7	-0.10213
13.75	-0.10678
13.8	-0.11048
13.85	-0.11333
13.9	-0.11537
13.95	-0.11651
14.0	-0.11662
14.05	-0.11543
14.1	-0.11261
14.15	-0.10757
14.2	-0.09985
14.25	-0.08893
14.3	-0.07444
14.35	-0.05606
14.4	-0.03388
14.45	-0.00823
14.5	0.02017
14.55	0.05048
14.6	0.08151
14.65	0.11198
