0.0	55.0	57.5	60.0	62.5	65.0	67.5	70.0	72.5	75.0	77.5	80.0	82.5	85.0
0.0	146.0	149.7	159.3	158.0	156.8	158.0	156.5	148.2	149.4	144.8	146.3	158.0	147.9
-50.0	1.0e-5	5.0e-5	0.00018	0.00011	9.0e-5	8.0e-5	9.0e-5	6.0e-5	6.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5
-49.95	1.0e-5	5.0e-5	0.00018	0.00011	8.0e-5	8.0e-5	9.0e-5	6.0e-5	6.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5
-49.9	1.0e-5	6.0e-5	0.00018	0.00011	8.0e-5	8.0e-5	8.0e-5	6.0e-5	6.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5
-49.85	0.0	6.0e-5	0.00017	0.00011	8.0e-5	8.0e-5	8.0e-5	6.0e-5	6.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5
-49.8	-0.0	6.0e-5	0.00017	0.00011	8.0e-5	8.0e-5	8.0e-5	6.0e-5	6.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5
-49.75	-1.0e-5	7.0e-5	0.00017	0.00011	8.0e-5	8.0e-5	8.0e-5	6.0e-5	6.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5
-49.7	-1.0e-5	7.0e-5	0.00017	0.00011	7.0e-5	8.0e-5	8.0e-5	6.0e-5	6.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5
-49.65	-2.0e-5	7.0e-5	0.00017	0.00011	7.0e-5	8.0e-5	8.0e-5	6.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	5.0e-5
-49.6	-2.0e-5	7.0e-5	0.00017	0.00011	7.0e-5	8.0e-5	8.0e-5	6.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	5.0e-5
-49.55	-3.0e-5	8.0e-5	0.00017	0.00011	7.0e-5	8.0e-5	8.0e-5	6.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5
-49.5	-4.0e-5	8.0e-5	0.00016	0.00011	7.0e-5	8.0e-5	8.0e-5	6.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5
-49.45	-5.0e-5	8.0e-5	0.00016	0.0001	7.0e-5	8.0e-5	8.0e-5	6.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5
-49.4	-6.0e-5	9.0e-5	0.00016	0.0001	7.0e-5	8.0e-5	7.0e-5	6.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5
-49.35	-7.0e-5	9.0e-5	0.00016	0.0001	7.0e-5	8.0e-5	7.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5
-49.3	-8.0e-5	0.0001	0.00016	0.0001	7.0e-5	8.0e-5	7.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5
-49.25	-9.0e-5	0.0001	0.00016	0.0001	7.0e-5	8.0e-5	7.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5
-49.2	-0.0001	0.00011	0.00016	0.0001	7.0e-5	8.0e-5	7.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5
-49.15	-0.0001	0.00012	0.00016	0.0001	7.0e-5	8.0e-5	7.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5
-49.1	-0.00011	0.00013	0.00016	0.0001	7.0e-5	8.0e-5	7.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5
-49.05	-0.00012	0.00014	0.00016	0.0001	8.0e-5	8.0e-5	7.0e-5	5.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5
-49.0	-0.00013	0.00015	0.00016	0.0001	8.0e-5	8.0e-5	7.0e-5	5.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5	6.0e-5
-48.95	-0.00014	0.00016	0.00016	9.0e-5	8.0e-5	8.0e-5	7.0e-5	5.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5	6.0e-5
-48.9	-0.00014	0.00017	0.00016	9.0e-5	8.0e-5	8.0e-5	7.0e-5	5.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5	6.0e-5
-48.85	-0.00015	0.00018	0.00016	9.0e-5	8.0e-5	8.0e-5	7.0e-5	5.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5	6.0e-5
-48.8	-0.00015	0.00019	0.00016	8.0e-5	8.0e-5	8.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5	6.0e-5
-48.75	-0.00016	0.0002	0.00016	8.0e-5	8.0e-5	8.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5	6.0e-5
-48.7	-0.00016	0.00021	0.00016	8.0e-5	8.0e-5	8.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5	6.0e-5
-48.65	-0.00016	0.00022	0.00016	7.0e-5	8.0e-5	8.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5	6.0e-5
-48.6	-0.00017	0.00023	0.00016	7.0e-5	8.0e-5	8.0e-5	6.0e-5	5.0e-5	5.0e-5	5.0e-5	5.0e-5	6.0e-5	6.0e-5
