0.0	298.15	233.3139406215805	30	10	60	5	S
1.0	307.24445307846037	466.50163037922863	30	10	60	5	S
2.0	319.03272781094796	719.8209990473439	10	90	0	Felsic	C
3.0	336.6001397516975	973.2020198970989	10	90	0	Felsic	C
4.0	354.0427324483967	1226.6456037075886	10	90	0	Felsic	C
5.0	371.3524448784549	1480.152691100175	10	90	0	Felsic	C
6.0	388.52268700071846	1733.72424622662	10	90	0	Felsic	C
7.0	405.54809922978785	1987.3547194450919	10	90	0	Felsic	C
8.0	422.42435217676484	2241.0322164688287	10	90	0	Felsic	C
9.0	439.1479793710338	2494.7585878466502	10	90	0	Felsic	C
10.0	455.7162331059591	2748.533852486589	10	90	0	Felsic	C
11.0	472.1269660983907	3002.3593539226363	10	90	0	Felsic	C
12.0	488.37853172511075	3256.2364485519947	10	90	0	Felsic	C
13.0	504.4697006419048	3510.166492733578	10	90	0	Felsic	C
14.0	520.399590886958	3764.150840937937	10	90	0	Felsic	C
15.0	536.1676092655343	4018.1908442211165	10	90	0	Felsic	C
16.0	551.7734021681309	4272.28784896937	10	90	0	Felsic	C
17.0	567.216814271323	4526.44319587051	10	90	0	Felsic	C
18.0	582.4978538187277	4780.65821907463	10	90	0	Felsic	C
19.0	597.6166633869057	5034.933911782881	10	90	0	Felsic	C
20.0	612.5734953319579	5363.3754026486195	20	60	20	Mafic	C
21.0	627.3507334136084	5691.7775799429755	20	60	20	Mafic	C
22.0	641.9489607181596	6020.14294170105	20	60	20	Mafic	C
23.0	656.3688539785977	6348.473968570116	20	60	20	Mafic	C
24.0	670.6111637272139	6676.773123089989	20	60	20	Mafic	C
25.0	684.6766981044641	7005.042849151218	20	60	20	Mafic	C
26.0	698.5663096555611	7333.285571597701	20	60	20	Mafic	C
27.0	712.2808845689502	7661.503312411891	20	60	20	Mafic	C
28.0	725.8213340113734	7989.697975913961	20	60	20	Mafic	C
29.0	739.1885869882783	8317.871755015129	20	60	20	Mafic	C
30.0	752.3835844866444	8646.026826297486	20	60	20	Mafic	C
31.0	765.4072747695951	8974.16534999011	20	60	20	Mafic	C
32.0	778.2606095679037	9302.289469984686	20	60	20	Mafic	C
33.0	790.9445410085084	9630.401313883498	20	60	20	Mafic	C
34.0	803.4600191494719	9958.500763943892	20	60	20	Mafic	C
35.0	815.8079904704006	10286.583097731775	20	60	20	Mafic	C
36.0	827.989397266406	10614.65055163752	20	60	20	Mafic	C
37.0	840.005174950783	10942.705449946805	20	60	20	Mafic	C
38.0	851.8562511577937	11270.75009737532	20	60	20	Mafic	C
39.0	863.5435451009605	11598.786779238253	20	60	20	Mafic	C
40.0	872.73926590266	11926.843327360695	20	60	20	Mafic	C
41.0	880.3371008802311	12261.63517105372	3.6	10.0	0.0	-99999	M
42.0	887.8783010275336	12596.43985314933	3.6	10.0	0.0	-99999	M
